Prison_ID,Prison_Type,Security_Level,Capacity,Number_of_Blocks,Current_Occupancy,Admissions_Last_7_Days,Admissions_Last_30_Days,Pending_Admissions,Releases_Last_7_Days,Releases_Last_30_Days,Upcoming_Releases_30_Days,Upcoming_Releases_60_Days,Upcoming_Releases_90_Days,Transfers_In_Last_30_Days,Transfers_Out_Last_30_Days,Pending_Transfers_In,Pending_Transfers_Out,Average_Remaining_Sentence,Median_Remaining_Sentence,Occupancy_7_Days_Ago,Occupancy_30_Days_Ago,Occupancy_60_Days_Ago,Occupancy_90_Days_Ago,Occupancy_30_Days,Occupancy_60_Days,Occupancy_90_Days
PR000027,Remand,High,827,6,709,433,1741,4,302,1283,1196,2420,3662,7,3,1,6,3.4,2.2,604,244,0,0,1157,1157,1157
PR000028,Maximum Security,High,445,4,383,20,102,8,18,77,82,161,246,7,6,3,3,69.5,52.4,380,369,310,275,401,426,441
PR000029,Minimum Security,Low,795,6,620,62,319,7,58,244,228,444,684,2,5,0,2,4.3,2.5,603,553,478,408,689,792,866
PR000030,Juvenile,Medium,239,3,213,32,138,3,24,156,158,333,501,4,2,1,0,27.2,21.7,213,236,254,267,222,198,180
PR000031,Juvenile,Medium,218,1,163,34,196,3,37,153,142,288,448,4,2,1,1,5.3,4.0,151,123,75,42,235,285,305
PR000032,Women's,Low,723,5,686,121,542,15,150,704,724,1428,2084,5,4,1,3,45.2,27.5,723,838,939,939,471,288,154
PR000033,Minimum Security,Low,576,6,445,30,169,6,25,116,118,258,410,7,4,3,2,6.9,4.3,433,388,321,307,520,597,623
PR000034,Minimum Security,Low,963,7,738,129,497,21,176,724,579,1167,1784,9,13,1,0,15.1,9.6,795,973,1210,1251,632,518,429
PR000035,Remand,High,316,1,204,82,316,6,70,315,323,645,956,1,2,2,3,0.5,0.3,203,220,203,167,184,180,167
PR000036,Minimum Security,Medium,240,2,176,14,99,5,22,88,88,157,237,1,3,0,0,9.7,8.3,174,162,123,155,184,205,241
PR000037,Maximum Security,High,528,2,391,20,83,10,30,89,90,159,241,4,3,2,1,52.4,47.2,397,397,446,419,388,400,415
PR000038,Remand,Medium,583,3,360,115,445,4,109,395,373,769,1163,5,7,1,1,3.7,3.3,350,319,253,195,421,477,479
PR000039,Minimum Security,Medium,262,4,130,12,40,1,13,65,54,113,168,8,1,0,2,6.7,4.4,134,144,154,191,135,149,163
PR000040,Juvenile,Medium,330,3,265,86,373,5,86,374,346,726,1079,4,4,2,4,2.6,1.5,263,272,273,239,279,205,221
PR000041,Remand,Low,259,1,217,97,476,3,124,523,591,1115,1673,5,1,2,2,3.4,2.2,223,259,310,316,98,58,0
PR000042,Women's,Medium,694,4,577,106,476,15,97,431,352,698,1034,5,5,2,3,33.8,18.8,566,538,480,420,669,761,871
PR000043,Juvenile,Low,353,2,275,71,254,5,76,332,325,636,987,0,1,4,2,9.2,6.9,294,370,449,458,201,166,41
PR000044,Minimum Security,Low,752,5,614,85,349,12,89,340,329,644,999,5,4,1,2,22.5,16.1,612,600,606,596,646,726,734
PR000045,Women's,Low,780,6,608,154,649,14,171,788,733,1425,2150,4,2,2,0,12.2,8.7,643,740,884,1014,514,494,467
PR000046,Women's,Low,309,1,225,39,202,7,62,228,183,410,616,2,2,1,2,10.0,8.0,233,248,266,338,252,198,167
PR000047,Minimum Security,Low,466,3,363,41,190,6,66,271,287,572,857,6,1,1,5,25.2,17.7,385,445,502,584,275,186,92
PR000048,Minimum Security,Low,900,5,796,92,386,21,99,409,356,745,1137,11,7,1,2,7.3,6.1,796,822,820,854,859,879,865
PR000049,Juvenile,Medium,166,1,159,24,99,5,21,120,106,205,303,1,2,2,2,17.4,11.9,162,201,206,212,158,194,171
PR000050,Maximum Security,High,428,4,409,28,125,2,40,171,122,280,418,6,0,0,2,23.7,20.0,417,444,479,488,424,399,420
PR000051,Minimum Security,Low,816,6,707,73,324,10,61,296,363,726,1124,5,4,1,1,29.5,19.4,692,684,646,652,679,624,524
PR000052,Maximum Security,High,1440,9,1224,74,310,23,63,258,247,506,781,6,1,0,2,73.5,58.9,1213,1153,1109,1048,1293,1378,1452
PR000053,Women's,Medium,308,3,240,25,194,5,43,187,186,395,612,2,2,0,2,8.0,6.4,238,238,217,221,260,261,280
PR000054,Juvenile,Medium,326,3,262,88,334,5,78,299,278,558,825,2,2,3,4,2.5,2.2,256,225,176,151,330,397,456
PR000055,Juvenile,Low,259,2,237,53,196,0,43,161,185,372,542,1,3,4,3,22.7,14.1,231,219,183,126,248,219,245
PR000056,Women's,Medium,541,3,396,98,458,13,66,382,316,644,941,5,5,4,1,9.6,5.8,380,330,251,197,532,688,757
PR000057,Remand,Medium,650,6,591,167,670,6,164,687,686,1337,1961,5,2,2,3,3.1,2.5,589,602,618,607,599,646,705
PR000058,Remand,Medium,1084,9,921,432,1794,17,493,2104,1960,3966,5930,10,7,2,2,1.1,0.9,994,1219,1409,1409,697,439,201
PR000059,Maximum Security,High,311,1,250,17,85,6,22,89,80,173,270,0,7,3,6,26.4,17.0,252,266,273,295,251,208,191
PR000060,Maximum Security,High,766,6,591,52,221,11,45,234,222,444,646,3,11,1,0,57.4,43.6,595,604,602,676,558,544,591
PR000061,Juvenile,Medium,143,3,107,29,123,3,43,175,169,341,541,0,0,0,2,3.7,2.9,120,150,185,185,57,35,0
PR000062,Remand,Low,495,4,451,271,1207,7,161,744,726,1479,2213,3,7,0,2,3.7,2.5,341,0,0,0,693,693,693
PR000063,Remand,Low,980,6,513,116,503,11,150,625,623,1265,1921,6,10,3,1,0.5,0.3,541,640,750,884,375,232,94
PR000064,Women's,Medium,649,4,586,78,394,4,72,285,323,615,941,1,2,2,1,20.6,17.1,564,477,372,249,634,753,783
PR000065,Remand,Medium,290,4,242,79,360,3,68,272,225,434,632,5,6,0,2,0.7,0.4,224,174,67,0,390,406,406
PR000066,Remand,Medium,491,4,360,132,621,13,198,814,676,1357,1995,5,3,2,2,4.3,2.9,412,555,638,638,275,189,143
PR000067,Remand,Medium,795,6,518,140,668,1,141,571,470,957,1434,6,8,1,3,2.1,1.8,501,428,322,266,688,821,998
PR000068,Minimum Security,Low,218,4,196,39,180,4,34,110,140,278,438,1,3,0,1,3.4,2.7,176,148,82,0,215,218,231
PR000069,Maximum Security,High,1475,9,1063,42,168,26,35,154,161,309,446,13,11,3,1,121.4,97.8,1057,1049,1026,997,1072,1135,1156
PR000070,Remand,Medium,1169,8,333,85,342,20,75,318,389,763,1137,5,4,1,4,0.8,0.6,327,300,276,281,297,252,196
PR000071,Minimum Security,Medium,949,7,716,128,605,14,105,527,420,886,1301,8,7,2,5,14.3,10.3,694,640,546,503,874,1008,1195
PR000072,Remand,High,838,5,724,391,1766,18,420,1770,2004,3857,5826,2,10,5,2,4.3,3.5,726,737,730,763,411,244,0
PR000073,Women's,Medium,289,1,270,36,170,4,58,265,291,560,810,1,6,5,0,4.2,3.3,298,361,375,375,135,50,0
PR000074,Minimum Security,Low,963,7,667,142,526,21,89,332,378,723,1064,3,0,1,1,24.5,14.7,618,473,249,40,838,1008,1214
PR000075,Maximum Security,High,441,2,266,25,97,6,23,92,88,196,289,4,3,1,5,100.3,72.6,265,267,243,254,278,265,280
PR000076,Minimum Security,Low,397,2,303,50,240,2,60,229,183,363,540,5,4,3,2,13.1,7.7,308,290,305,233,364,435,490
PR000077,Minimum Security,Medium,690,4,428,83,314,6,108,402,385,747,1077,2,5,1,1,14.7,10.2,452,509,604,700,375,322,355
PR000078,Juvenile,Low,246,1,207,66,275,1,69,306,356,701,1061,2,2,2,1,8.2,6.5,213,249,284,294,124,64,0
PR000079,Remand,Medium,927,6,598,307,1281,13,297,1229,1220,2402,3704,7,10,3,1,1.3,0.7,582,547,495,437,655,724,734
PR000080,Women's,Medium,329,3,228,26,118,3,47,161,202,385,571,1,2,0,1,20.0,14.5,239,265,321,339,166,93,24
PR000081,Juvenile,Medium,62,2,31,8,37,0,16,54,52,92,133,1,0,1,0,11.9,10.1,32,51,62,59,25,23,0
PR000082,Remand,Medium,984,6,850,200,896,12,202,856,857,1729,2640,4,7,0,2,0.5,0.4,838,819,760,716,844,755,726
PR000083,Women's,Medium,343,2,270,59,250,10,37,131,128,244,380,5,3,6,1,3.7,3.3,245,163,24,0,361,480,480
PR000084,Minimum Security,Low,714,5,590,100,508,5,117,484,435,884,1298,3,2,3,1,10.7,6.8,580,565,547,505,636,630,706
PR000085,Maximum Security,Medium,1086,6,798,90,322,12,74,329,302,615,913,11,12,2,3,89.1,71.8,803,802,819,808,827,765,808
PR000086,Maximum Security,High,600,4,440,24,134,11,30,139,183,332,521,1,2,2,2,10.4,8.8,441,456,438,468,383,422,385
PR000087,Juvenile,Medium,69,1,59,21,92,2,20,84,85,171,271,0,1,4,0,3.5,2.5,48,55,47,57,66,78,50
PR000088,Remand,High,363,5,259,123,549,3,133,551,512,1006,1546,5,4,2,0,0.6,0.6,260,260,272,246,262,288,289
PR000089,Minimum Security,Low,230,2,160,26,188,4,27,149,131,277,415,3,1,1,1,3.4,3.0,148,120,85,36,197,224,256
PR000090,Remand,Low,1162,7,795,313,1347,25,254,1069,1013,2037,3117,15,12,2,1,3.7,2.2,734,504,246,0,1185,1564,1626
PR000091,Minimum Security,Low,785,6,547,81,482,7,90,402,429,830,1227,4,6,2,1,7.5,6.5,528,471,378,290,596,656,740
PR000092,Juvenile,Medium,195,1,138,43,198,0,37,165,174,352,527,0,1,0,1,17.5,10.0,129,117,94,24,169,178,149
PR000093,Remand,Low,687,4,631,348,1500,10,415,1653,1390,2832,4222,1,3,0,1,3.0,1.8,666,789,893,893,794,873,961
PR000094,Minimum Security,Low,975,7,876,144,641,6,107,517,545,1184,1805,4,6,1,1,17.0,14.1,846,756,646,480,966,920,947
PR000095,Minimum Security,Medium,523,4,448,43,177,3,53,262,220,490,748,2,3,1,0,14.4,11.2,468,535,624,679,426,330,242
PR000096,Remand,Medium,543,5,353,124,498,3,82,380,321,649,967,4,3,2,4,4.3,3.5,328,239,114,0,539,711,760
PR000097,Minimum Security,Low,989,4,832,142,600,6,108,561,479,957,1443,4,4,2,1,9.8,7.1,823,791,766,714,1000,1155,1350
PR000098,Maximum Security,High,685,5,471,20,83,12,14,58,63,126,200,8,3,0,1,96.1,55.2,462,437,400,362,492,527,489
PR000099,Maximum Security,High,833,5,766,56,311,9,74,335,347,693,1060,6,5,0,2,35.5,24.8,772,797,815,842,761,717,698
PR000100,Women's,Medium,535,2,385,41,201,7,48,191,199,396,591,7,1,1,1,29.9,20.7,381,388,349,344,408,416,411
PR000101,Women's,Low,175,1,147,18,83,1,25,110,128,242,369,0,2,2,2,13.7,11.4,152,172,193,227,110,89,44
PR000102,Juvenile,Low,386,2,344,83,490,9,98,404,364,721,1093,4,6,2,1,6.7,5.9,322,269,184,99,496,540,540
PR000103,Minimum Security,Medium,736,6,573,94,423,1,159,640,643,1315,1962,8,8,3,3,14.5,8.9,624,777,956,956,357,140,0
PR000104,Women's,Medium,459,4,386,92,385,11,103,431,388,797,1157,0,3,1,2,27.2,21.5,400,446,477,541,397,387,419
PR000105,Women's,Medium,269,3,183,23,100,8,16,89,83,188,278,1,1,0,3,11.3,8.0,186,173,166,133,200,192,193
PR000106,Juvenile,Low,258,2,239,55,229,3,38,171,219,409,600,1,1,2,4,13.7,11.5,231,182,162,78,260,267,309
PR000107,Remand,High,1072,7,923,243,1117,16,273,1115,1113,2220,3377,8,5,2,3,5.7,4.1,925,922,933,881,957,991,1023
PR000108,Minimum Security,Medium,788,4,635,99,431,3,113,458,426,865,1329,6,10,5,1,16.6,14.9,639,686,700,711,656,675,637
PR000109,Maximum Security,High,995,5,868,80,323,9,94,399,328,700,1057,4,12,2,0,41.6,24.9,887,957,1060,1158,877,834,812
PR000110,Women's,Medium,595,4,480,75,326,7,60,262,267,535,793,2,3,2,1,10.7,7.4,467,426,363,244,528,570,599
PR000111,Remand,High,716,3,711,256,1051,10,294,1292,1283,2515,3731,9,3,2,0,5.2,4.0,764,930,930,930,476,300,123
PR000112,Minimum Security,Low,639,3,395,54,204,6,59,266,229,471,727,1,2,2,1,31.6,17.7,410,455,527,597,367,312,258
PR000113,Minimum Security,Low,753,5,515,52,254,8,67,266,228,472,717,2,7,4,0,14.2,9.4,518,526,545,553,564,544,575
PR000114,Remand,Medium,885,7,756,393,1643,5,242,974,1165,2299,3395,12,9,2,2,0.5,0.3,606,85,0,0,1137,1239,1239
PR000115,Minimum Security,Low,950,6,840,87,398,7,102,469,532,991,1447,4,6,5,1,5.6,4.0,855,908,983,1057,700,638,603
PR000116,Women's,Low,620,3,555,67,291,6,65,236,215,395,587,2,2,1,1,8.0,7.2,543,502,429,418,638,729,843
PR000117,Women's,Medium,739,3,693,137,554,8,132,509,505,966,1446,3,5,0,1,30.1,25.9,688,644,589,574,777,914,1034
PR000118,Juvenile,Medium,285,2,221,77,321,7,45,222,269,578,813,2,4,5,3,8.3,7.2,197,112,3,0,217,230,210
PR000119,Remand,Medium,601,3,349,90,431,10,107,439,401,804,1212,1,2,2,0,5.1,3.8,352,362,378,358,396,433,495
PR000120,Remand,Medium,807,5,695,284,1160,19,307,1412,1245,2492,3817,4,1,2,1,1.3,0.9,758,943,1049,1049,618,575,407
PR000121,Remand,High,395,2,348,65,275,6,89,322,367,765,1123,7,3,3,0,2.1,1.6,361,395,455,451,260,173,86
PR000122,Remand,High,646,4,552,286,1080,12,208,967,893,1771,2619,5,0,2,0,1.1,0.9,525,430,330,181,740,904,904
PR000123,Maximum Security,High,1213,9,989,58,240,13,49,213,245,506,716,3,18,3,2,60.3,51.4,988,972,976,943,952,925,927
PR000124,Remand,High,679,6,480,135,577,6,151,574,511,1003,1558,7,9,1,0,9.7,7.3,482,482,479,479,543,642,643
PR000125,Maximum Security,High,1043,7,882,46,192,20,32,171,173,347,552,2,8,2,2,41.4,32.9,878,860,864,842,887,884,862
PR000126,Remand,Medium,485,2,364,102,430,1,80,354,356,663,948,0,3,3,2,1.8,1.1,349,296,212,145,457,618,679
PR000127,Minimum Security,Low,672,4,453,80,399,10,80,351,361,743,1128,3,4,2,1,7.7,5.5,439,399,336,295,511,553,553
PR000128,Maximum Security,High,324,3,267,7,43,2,13,56,49,98,137,0,1,2,0,32.6,22.0,270,271,312,274,262,287,266
PR000129,Maximum Security,High,519,5,477,50,195,3,37,205,234,520,760,3,3,3,4,52.2,46.4,479,493,486,524,447,365,296
PR000130,Remand,Medium,1117,6,966,404,1702,21,602,2759,2381,4813,7148,11,15,2,0,3.1,2.0,1208,1452,1452,1452,336,0,0
PR000131,Minimum Security,Low,631,6,509,117,450,0,129,521,508,1028,1492,6,3,1,1,5.2,3.0,514,568,665,768,483,425,468
PR000132,Women's,Medium,353,2,285,56,257,5,32,222,200,409,621,2,1,3,1,16.2,14.5,281,248,221,179,342,391,480
PR000133,Remand,High,833,6,736,388,1587,8,419,1682,1577,3197,4789,11,4,3,1,2.1,1.4,756,823,919,1000,817,829,902
PR000134,Minimum Security,Low,335,5,318,63,277,3,61,277,328,635,909,3,0,0,3,2.2,1.6,319,305,317,315,249,212,235
PR000135,Remand,Medium,1077,6,659,233,1002,17,270,1094,1302,2560,3760,5,16,0,0,3.5,2.5,690,761,868,973,385,134,0
PR000136,Maximum Security,Medium,1053,8,894,28,122,23,30,122,116,246,370,13,2,2,3,36.5,23.0,892,877,855,870,936,924,1004
PR000137,Women's,Low,179,1,144,23,123,4,22,83,78,146,234,0,0,1,2,23.2,14.2,134,100,54,35,213,226,250
PR000138,Remand,Low,396,3,374,192,840,6,243,1016,786,1611,2473,1,1,2,4,1.5,1.0,417,514,514,514,480,554,554
PR000139,Women's,Low,262,1,211,50,231,4,33,208,190,406,622,3,4,2,2,23.1,15.2,207,199,185,123,281,298,307
PR000140,Maximum Security,Medium,646,2,590,37,171,15,46,203,213,415,611,11,2,0,6,45.5,37.9,595,609,632,650,555,535,551
PR000141,Remand,Medium,652,4,649,158,646,3,198,846,779,1480,2284,6,6,0,5,4.2,2.5,695,847,847,847,523,451,266
PR000142,Remand,High,1020,7,798,236,1068,14,394,1639,1794,3557,5302,5,9,2,5,1.8,1.2,931,1326,1326,1326,89,0,0
PR000143,Women's,Low,256,3,189,40,159,0,28,134,144,279,402,1,1,3,2,17.8,10.3,179,167,150,117,171,175,185
PR000144,Remand,Medium,405,3,279,48,236,8,94,373,288,605,918,7,3,1,2,2.2,1.3,313,416,526,526,247,176,164
PR000145,Remand,Low,449,4,370,142,571,4,118,522,565,1170,1745,1,4,2,3,0.5,0.4,359,322,291,223,399,393,404
PR000146,Minimum Security,Medium,613,4,491,52,236,9,45,203,181,378,544,1,5,1,3,14.0,11.6,481,452,430,413,515,529,544
PR000147,Minimum Security,Low,891,5,530,45,214,4,53,236,227,463,678,5,11,3,1,16.4,11.1,535,549,593,601,513,497,454
PR000148,Remand,High,1128,8,838,484,1968,8,339,1529,1633,3218,4831,10,11,1,1,5.8,5.2,736,401,0,0,1204,1555,1579
PR000149,Remand,High,364,2,297,113,449,3,118,491,474,890,1355,4,1,6,3,2.8,1.9,301,333,376,387,295,366,387
PR000150,Maximum Security,High,371,4,356,23,101,5,24,101,83,171,257,1,2,2,2,85.2,75.0,362,363,341,357,377,371,406
PR000151,Women's,Low,102,1,92,17,53,0,15,46,44,91,133,0,0,2,3,5.7,4.1,88,78,71,70,99,101,88
PR000152,Women's,Medium,510,4,407,55,270,9,30,179,188,369,567,7,5,0,3,14.7,12.7,386,316,211,132,475,523,571
PR000153,Maximum Security,High,957,8,785,38,169,11,36,143,144,291,448,6,3,1,1,35.0,27.6,781,771,749,691,804,850,891
PR000154,Remand,Medium,685,5,523,288,1207,10,259,1136,1183,2387,3544,10,5,2,1,1.6,1.2,506,444,387,313,525,544,589
PR000155,Maximum Security,Medium,680,5,452,40,175,10,47,189,172,327,519,5,8,2,0,44.9,25.4,458,464,491,492,449,470,482
PR000156,Juvenile,Medium,350,2,269,71,304,1,79,347,372,764,1120,12,3,3,3,10.7,9.3,276,287,340,372,210,123,89
PR000157,Minimum Security,Low,736,4,584,83,357,13,92,382,324,686,1024,8,7,1,5,17.9,15.4,586,606,636,653,606,582,561
PR000158,Juvenile,Medium,207,2,187,36,126,3,43,198,169,355,549,0,2,1,1,15.3,13.0,201,249,269,269,126,22,0
PR000159,Juvenile,Medium,235,1,154,47,201,2,51,198,192,369,558,0,1,3,1,4.3,3.3,156,143,166,168,182,221,299
PR000160,Women's,Medium,561,4,409,60,328,4,52,240,247,517,795,4,0,1,2,15.2,12.2,389,321,230,158,519,603,687
PR000161,Maximum Security,High,1308,9,1058,99,380,15,75,336,416,836,1302,11,5,5,5,24.2,20.3,1046,1006,978,895,1024,966,877
PR000162,Women's,Medium,350,2,211,24,106,5,26,109,69,152,235,1,3,3,0,4.1,2.5,214,228,223,245,255,290,299
PR000163,Minimum Security,Medium,773,5,727,61,281,7,60,293,266,556,869,4,9,0,0,24.3,18.2,729,743,759,812,747,740,690
PR000164,Maximum Security,High,1368,10,1248,70,331,17,96,382,301,638,946,17,21,0,1,26.1,16.2,1263,1293,1365,1404,1271,1283,1331
PR000165,Remand,High,318,2,303,119,525,5,152,619,499,1014,1489,4,5,2,1,7.0,5.1,321,398,413,413,365,395,445
PR000166,Minimum Security,Low,321,2,248,24,105,2,28,93,107,201,304,2,4,1,4,16.5,9.8,243,237,229,228,239,231,243
PR000167,Women's,Low,299,3,279,59,285,2,59,259,248,537,783,1,1,1,1,30.6,20.1,273,257,239,189,303,290,307
PR000168,Women's,Low,491,4,416,53,221,12,53,208,187,372,577,5,7,1,4,12.4,10.6,412,396,397,363,453,461,458
PR000169,Minimum Security,Medium,878,6,773,150,547,11,126,611,653,1280,1948,8,10,1,3,5.6,4.6,792,838,913,957,659,609,437
PR000170,Women's,Low,207,2,137,20,88,3,22,79,70,126,176,1,2,0,0,4.7,3.2,136,130,119,103,124,187,228
PR000171,Minimum Security,Low,625,4,514,34,142,10,53,216,201,410,629,3,2,1,2,9.5,8.2,537,585,668,745,484,437,379
PR000172,Remand,Low,573,3,506,154,612,5,100,393,455,896,1318,0,4,0,0,4.6,3.7,455,290,74,0,602,712,802
PR000173,Minimum Security,Low,565,3,412,45,198,8,60,283,271,521,784,5,0,0,2,19.1,11.3,431,489,566,603,391,412,375
PR000174,Women's,Medium,648,4,345,84,355,3,81,310,286,559,831,9,5,1,2,15.4,8.6,336,288,246,237,448,604,705
PR000175,Minimum Security,Low,240,2,210,37,178,4,43,164,172,353,551,3,3,4,2,22.7,14.1,210,206,171,194,230,217,238
PR000176,Maximum Security,High,455,4,414,38,148,6,35,110,134,249,388,3,0,2,1,71.8,42.3,405,382,326,300,428,448,537
PR000177,Remand,Medium,1024,7,528,184,884,6,152,731,622,1218,1828,9,15,2,4,5.1,3.3,495,387,199,90,772,1033,1281
PR000178,Women's,Low,263,2,219,34,153,1,49,214,262,496,748,1,3,1,2,3.4,2.0,233,278,336,341,121,18,0
PR000179,Women's,Low,590,3,200,26,91,2,22,79,79,171,252,3,4,3,1,7.5,5.2,196,190,151,146,220,227,219
PR000180,Juvenile,Medium,147,1,114,39,137,2,32,138,164,310,468,0,1,4,1,30.5,20.6,117,121,79,115,99,83,15
PR000181,Women's,Medium,572,4,365,74,283,11,53,246,262,524,751,1,7,0,2,17.1,15.3,355,351,295,267,429,472,523
PR000182,Women's,Medium,637,3,570,92,377,8,128,505,511,1015,1536,1,2,2,1,5.2,3.8,602,702,828,828,428,253,85
PR000183,Remand,High,595,4,586,174,819,12,260,1087,1101,2243,3363,10,2,2,1,2.9,1.7,648,773,773,773,300,0,0
PR000184,Minimum Security,Low,915,6,797,156,689,10,133,575,543,1083,1627,3,9,4,4,2.3,1.5,769,690,572,459,980,1156,1281
PR000185,Women's,Medium,475,3,429,76,330,5,69,307,372,728,1095,5,4,2,3,26.1,22.0,418,396,375,376,350,317,267
PR000186,Juvenile,Low,143,2,131,41,162,0,40,113,136,260,390,1,2,2,3,4.5,3.5,121,71,28,0,147,183,157
PR000187,Minimum Security,Low,702,5,592,50,242,9,65,299,277,565,844,3,4,4,1,1.3,1.0,610,650,684,730,575,514,523
PR000188,Maximum Security,High,1233,7,1185,74,269,11,66,262,242,468,707,15,15,1,1,37.0,20.5,1178,1180,1183,1145,1197,1251,1298
PR000189,Juvenile,Medium,372,3,284,42,168,3,28,150,168,343,499,1,2,2,1,29.8,21.1,280,280,244,203,290,270,310
PR000190,Minimum Security,Low,449,2,288,31,134,7,45,150,124,235,363,3,3,2,0,13.4,7.5,291,312,309,293,307,340,363
PR000191,Women's,Medium,212,1,207,15,112,2,12,71,84,155,244,2,2,0,4,11.1,7.3,195,175,155,79,227,269,277
PR000192,Minimum Security,Low,628,5,467,59,296,2,78,308,294,628,936,4,1,1,4,17.4,15.5,468,465,532,487,465,408,388
PR000193,Maximum Security,High,1330,8,571,43,191,13,63,232,269,543,812,8,16,3,2,41.8,36.1,587,623,675,694,506,424,371
PR000194,Women's,Low,129,1,98,23,86,2,16,75,67,141,217,1,0,2,5,9.7,8.4,99,80,102,70,115,129,151
PR000195,Minimum Security,Low,928,6,826,121,396,21,82,394,413,841,1233,12,5,8,1,15.3,8.9,822,817,805,815,789,762,769
PR000196,Minimum Security,Low,872,6,680,146,631,11,86,454,460,921,1364,4,10,1,3,3.3,2.9,638,508,338,177,897,1117,1220
PR000197,Remand,Low,694,4,533,284,1138,10,367,1532,1523,2909,4336,5,4,1,3,3.1,1.9,630,902,902,902,180,0,0
PR000198,Women's,Medium,121,1,109,21,99,0,17,79,68,136,206,0,0,3,2,34.9,24.6,107,99,62,16,133,169,169
PR000199,Minimum Security,Low,438,2,340,43,183,5,40,164,168,344,534,4,2,3,2,14.0,11.9,332,314,297,282,383,417,436
