Age,Gender,education_level,Prison_type,Prison_security_level,Block_security_level,Incidents_count,Violent_incident_count,escape_incident_count,days_since_last_incidence,total_disciplinary_days,Risk Behaviour
36,Male,Primary,Minimum Security,Low,Medium,1,0,0,244,0,Low
25,Male,Illiterate,Juvenile,Medium,High,5,0,0,76,24,Medium
54,Female,Illiterate,Women's,High,High,8,2,0,213,23,High
56,Male,Secondary,Remand,Medium,Low,4,1,0,152,15,Medium
55,Female,Primary,Women's,Medium,Medium,8,3,1,50,30,High
31,Male,Illiterate,Remand,High,High,8,2,2,80,27,High
18,Male,Preparatory,Minimum Security,Low,Medium,1,0,0,147,6,Low
63,Female,Illiterate,Minimum Security,Low,Medium,3,0,0,135,13,Low
58,Male,Primary,Remand,High,High,14,1,2,76,31,High
35,Male,Literate,Juvenile,Medium,Medium,13,3,4,291,29,High
36,Male,Primary,Minimum Security,Low,Low,3,0,0,139,7,Low
50,Male,Secondary,Remand,Low,Low,1,0,0,309,1,Low
34,Male,Secondary,Maximum Security,High,Medium,11,3,0,300,28,High
19,Female,Secondary,Women's,High,High,7,1,0,89,28,Medium
48,Male,Primary,Remand,Low,Low,1,0,0,251,0,Low
23,Male,Primary,Minimum Security,Low,Medium,2,0,0,82,17,Medium
39,Male,Secondary,Minimum Security,Low,Low,1,0,0,281,7,Low
20,Male,Primary,Minimum Security,Low,Low,2,0,0,206,7,Low
50,Male,Bachelor's,Juvenile,Medium,High,4,1,0,265,13,Low
41,Male,Preparatory,Remand,High,High,7,0,1,67,25,Medium
36,Male,Literate,Minimum Security,Low,Low,4,1,0,311,12,Low
33,Male,Illiterate,Remand,Medium,Medium,12,2,2,58,35,High
47,Female,Secondary,Women's,High,Medium,6,0,1,149,18,Medium
50,Male,Preparatory,Remand,Medium,Medium,4,0,0,74,10,Medium
42,Male,Secondary,Maximum Security,High,High,10,0,3,35,31,High
35,Female,Primary,Juvenile,Low,Medium,1,0,0,1,0,Low
36,Male,Secondary,Remand,Medium,Low,6,0,1,228,22,Medium
52,Male,Secondary,Remand,Medium,Low,1,0,0,96,2,Low
62,Male,Bachelor's,Maximum Security,High,High,10,1,2,162,19,High
65,Female,Preparatory,Minimum Security,Low,Low,2,0,0,333,9,Low
27,Male,Preparatory,Remand,Medium,Low,7,0,0,225,20,Low
24,Male,Secondary,Remand,Medium,Medium,3,0,0,79,11,Low
22,Female,Primary,Minimum Security,Low,Low,2,0,0,332,5,Low
23,Female,Bachelor's,Women's,Low,Low,4,0,0,162,11,Low
58,Male,Bachelor's,Remand,High,High,3,0,0,323,2,Low
61,Female,Postgraduate education,Women's,Medium,Medium,4,1,0,50,8,Low
58,Male,Literate,Remand,High,High,3,0,0,166,13,Medium
21,Male,Literate,Minimum Security,Low,Low,2,0,0,289,9,Low
61,Male,Illiterate,Juvenile,Low,Low,1,0,0,123,5,Low
49,Female,Literate,Women's,Medium,Medium,4,1,0,130,4,Medium
60,Male,Bachelor's,Maximum Security,High,High,8,2,1,80,23,High
22,Male,Secondary,Minimum Security,Low,Low,3,0,0,217,9,Low
62,Male,Primary,Maximum Security,High,High,14,5,1,247,40,High
24,Male,Secondary,Maximum Security,High,Medium,7,0,0,151,13,Medium
19,Female,Secondary,Women's,High,High,6,2,1,351,23,Medium
65,Female,Bachelor's,Women's,Medium,Low,4,0,0,146,10,Low
32,Male,Secondary,Remand,Medium,Medium,7,0,0,337,12,Low
61,Male,Bachelor's,Juvenile,Medium,Medium,8,1,0,225,26,Medium
20,Male,Illiterate,Remand,High,High,8,0,1,89,17,High
30,Male,Postgraduate education,Maximum Security,High,High,8,0,1,139,32,Medium
28,Male,Preparatory,Maximum Security,High,Medium,8,0,2,173,31,High
25,Male,Secondary,Minimum Security,Low,Medium,2,0,0,346,13,Low
64,Male,Bachelor's,Remand,Medium,High,8,1,1,202,15,Medium
18,Male,Preparatory,Maximum Security,High,High,4,0,0,134,11,Medium
55,Male,Preparatory,Minimum Security,Low,Low,1,0,0,241,5,Low
19,Female,Primary,Remand,Medium,Medium,3,0,0,325,9,Low
47,Female,Primary,Women's,Medium,High,6,0,1,19,20,High
37,Female,Literate,Women's,High,High,9,2,2,198,27,High
47,Female,Secondary,Minimum Security,Low,Low,4,1,0,300,13,Low
65,Female,Secondary,Remand,Medium,Medium,9,2,0,143,25,Medium
20,Male,Preparatory,Remand,High,High,11,0,0,351,34,Medium
41,Female,Primary,Remand,Medium,High,5,0,1,62,8,Medium
47,Male,Secondary,Maximum Security,High,Medium,9,1,0,25,23,Medium
39,Male,Secondary,Maximum Security,High,High,9,2,2,283,25,High
31,Male,Primary,Remand,Medium,Medium,4,0,0,305,13,Low
18,Female,Postgraduate education,Maximum Security,High,High,12,3,1,89,33,High
25,Male,Illiterate,Remand,Medium,Medium,5,1,0,165,17,Medium
19,Male,Secondary,Maximum Security,High,High,3,0,0,32,10,Medium
48,Male,Secondary,Minimum Security,Low,Low,3,0,0,113,20,Low
57,Male,Bachelor's,Maximum Security,High,High,12,4,2,234,38,High
59,Female,Illiterate,Women's,Medium,Medium,4,0,0,351,10,Low
24,Female,Illiterate,Remand,High,High,9,2,0,33,29,High
26,Male,Secondary,Maximum Security,High,High,4,1,0,305,20,Medium
51,Male,Preparatory,Minimum Security,Low,Low,1,0,0,58,0,Low
59,Male,Secondary,Remand,High,High,8,1,1,116,34,High
44,Male,Preparatory,Minimum Security,Low,Medium,1,0,0,218,0,Low
38,Male,Literate,Remand,Low,Medium,3,0,0,43,2,Low
23,Male,Preparatory,Minimum Security,Low,Medium,1,0,0,30,3,Low
55,Female,Secondary,Women's,Medium,Medium,5,1,1,340,16,Medium
45,Female,Secondary,Women's,Low,Low,3,0,0,180,13,Low
24,Male,Secondary,Remand,High,High,8,0,1,284,27,Medium
41,Male,Primary,Maximum Security,High,High,5,0,0,287,12,Medium
57,Male,Illiterate,Remand,Low,Low,2,0,0,136,10,Low
19,Male,Primary,Maximum Security,High,High,11,3,1,3,32,High
29,Female,Secondary,Women's,Medium,High,6,1,0,324,14,Medium
19,Male,Preparatory,Maximum Security,High,High,9,1,0,80,26,Medium
41,Male,Bachelor's,Minimum Security,Low,Low,1,0,0,26,2,Low
27,Male,Secondary,Maximum Security,High,High,5,0,1,338,6,Medium
45,Male,Primary,Remand,Medium,High,4,1,0,220,18,Medium
25,Male,Preparatory,Minimum Security,Low,Low,1,0,0,23,0,Low
32,Male,Illiterate,Minimum Security,Low,Low,1,0,0,108,0,Low
26,Male,Literate,Juvenile,Medium,Medium,3,0,0,66,9,Medium
42,Male,Secondary,Remand,Medium,Medium,6,2,1,203,18,Medium
65,Male,Bachelor's,Maximum Security,High,Medium,8,0,1,294,25,Medium
45,Male,Preparatory,Remand,High,High,7,0,0,166,27,Medium
28,Male,Bachelor's,Juvenile,Low,Medium,2,0,0,54,2,Low
33,Male,Illiterate,Minimum Security,Low,Low,1,0,0,173,0,Low
32,Male,Preparatory,Minimum Security,Low,Medium,3,0,0,261,14,Low
30,Female,Primary,Women's,Medium,Low,3,0,0,75,10,Medium
33,Male,Literate,Maximum Security,High,High,10,0,2,335,29,High
22,Male,Preparatory,Maximum Security,High,High,5,0,0,296,19,Medium
46,Female,Secondary,Remand,Low,Low,2,0,0,321,6,Low
38,Male,Preparatory,Maximum Security,High,High,11,3,0,140,30,High
55,Male,Primary,Maximum Security,High,High,9,1,2,29,34,High
41,Male,Bachelor's,Juvenile,Low,Low,3,0,0,259,17,Low
42,Male,Secondary,Minimum Security,Low,Low,2,0,0,230,0,Low
54,Male,Preparatory,Remand,High,High,8,3,1,52,14,High
39,Female,Illiterate,Women's,Medium,High,10,2,0,362,29,High
46,Female,Preparatory,Women's,Medium,Medium,8,2,1,144,23,High
42,Male,Secondary,Minimum Security,Low,Low,5,1,1,331,13,Medium
39,Male,Secondary,Maximum Security,High,High,9,1,1,336,22,Medium
56,Female,Primary,Women's,Medium,High,2,0,0,179,5,Low
37,Female,Secondary,Women's,Medium,Medium,5,0,1,43,17,Medium
37,Male,Primary,Remand,High,High,6,1,1,350,23,Medium
51,Male,Preparatory,Maximum Security,High,High,7,1,1,158,18,Medium
29,Female,Primary,Women's,Medium,High,5,1,1,70,20,High
27,Male,Literate,Maximum Security,High,High,7,0,0,269,17,Medium
20,Female,Secondary,Remand,Medium,High,7,2,1,92,22,Medium
62,Male,Literate,Juvenile,Medium,Medium,8,2,1,346,17,Medium
64,Male,Primary,Maximum Security,High,High,8,2,1,229,24,High
32,Male,Secondary,Remand,Medium,Low,1,0,0,188,3,Low
61,Female,Postgraduate education,Women's,Medium,Medium,4,0,0,195,7,Low
50,Female,Secondary,Remand,Medium,High,5,0,1,128,10,Medium
21,Female,Secondary,Remand,High,Medium,3,0,0,63,0,Low
36,Male,Preparatory,Maximum Security,High,High,7,1,0,223,25,Medium
23,Female,Primary,Women's,Medium,Medium,5,0,0,13,11,Medium
44,Male,Primary,Maximum Security,High,Medium,10,1,0,191,38,Medium
32,Female,Bachelor's,Maximum Security,High,High,7,2,1,74,19,High
26,Female,Preparatory,Maximum Security,High,Medium,9,2,1,361,22,High
48,Male,Illiterate,Minimum Security,Low,Medium,1,0,0,76,3,Low
53,Female,Secondary,Women's,Medium,Medium,5,1,1,121,18,Medium
37,Male,Secondary,Maximum Security,High,High,7,0,1,32,16,Medium
25,Male,Preparatory,Juvenile,Medium,Medium,6,2,0,73,12,Medium
36,Male,Primary,Minimum Security,Low,Low,3,0,0,340,6,Low
60,Female,Illiterate,Maximum Security,High,High,10,4,0,259,27,High
50,Male,Preparatory,Remand,Medium,Low,7,0,1,129,16,Medium
65,Male,Primary,Maximum Security,High,High,12,4,3,321,38,High
24,Male,Primary,Juvenile,Medium,Medium,3,0,0,329,5,Low
29,Male,Postgraduate education,Juvenile,Medium,High,8,3,1,69,13,High
22,Female,Illiterate,Remand,High,High,7,2,0,21,21,High
38,Female,Preparatory,Women's,Low,Low,1,0,0,129,12,Low
20,Male,Primary,Juvenile,Low,Low,1,0,0,169,8,Low
35,Male,Bachelor's,Maximum Security,High,High,13,2,2,197,32,High
39,Female,Preparatory,Women's,Medium,Low,3,0,0,265,10,Low
35,Male,Illiterate,Juvenile,Medium,Low,6,2,1,279,18,Medium
36,Male,Secondary,Minimum Security,Low,Low,3,0,0,308,10,Low
63,Male,Primary,Minimum Security,Low,Medium,1,0,0,180,12,Low
57,Female,Primary,Women's,Low,Low,1,0,0,38,0,Low
60,Male,Secondary,Remand,Medium,Low,4,1,0,73,10,Medium
56,Male,Literate,Remand,High,High,13,3,4,185,34,High
42,Female,Illiterate,Women's,High,High,12,4,1,189,37,High
41,Male,Literate,Minimum Security,Low,Low,4,0,0,160,10,Low
59,Female,Illiterate,Maximum Security,High,High,9,0,1,265,24,Medium
42,Female,Literate,Women's,Medium,Medium,1,0,0,109,1,Low
57,Female,Preparatory,Minimum Security,Low,Medium,1,0,0,37,0,Low
46,Male,Postgraduate education,Maximum Security,High,Medium,3,0,0,163,14,Low
60,Male,Secondary,Minimum Security,Low,Low,2,0,0,80,3,Low
63,Male,Literate,Remand,Medium,Medium,4,0,0,102,12,Low
26,Male,Preparatory,Maximum Security,High,High,5,1,1,239,19,Medium
53,Female,Illiterate,Maximum Security,High,High,10,4,2,245,30,High
51,Male,Secondary,Minimum Security,Low,Medium,1,0,0,162,0,Low
59,Male,Preparatory,Maximum Security,High,High,6,1,0,282,20,Medium
58,Male,Literate,Remand,Medium,Low,4,1,0,63,11,Medium
51,Male,Primary,Maximum Security,High,High,4,0,0,177,6,Medium
51,Female,Bachelor's,Women's,High,High,5,0,1,282,15,Medium
35,Male,Preparatory,Maximum Security,High,High,13,3,3,86,38,High
55,Female,Literate,Women's,Medium,Medium,7,0,0,309,25,Medium
39,Male,Bachelor's,Juvenile,Medium,High,4,1,0,328,18,Low
54,Male,Secondary,Maximum Security,High,High,8,1,0,15,21,Medium
49,Female,Secondary,Women's,Medium,Medium,4,1,0,125,11,Low
61,Male,Secondary,Minimum Security,Low,Medium,1,0,0,212,1,Low
48,Male,Literate,Minimum Security,Low,Low,2,0,0,163,5,Low
64,Female,Primary,Women's,Medium,Medium,8,3,0,263,25,Medium
53,Male,Literate,Maximum Security,High,High,8,0,0,72,17,Medium
24,Female,Bachelor's,Maximum Security,High,High,12,1,2,81,31,High
38,Female,Secondary,Women's,High,High,5,1,0,263,16,Medium
47,Male,Illiterate,Remand,Low,Low,2,0,0,123,8,Low
31,Male,Primary,Remand,Medium,Low,6,2,1,344,17,Medium
48,Male,Literate,Minimum Security,Low,Medium,3,0,0,135,10,Low
64,Male,Illiterate,Minimum Security,Low,Medium,2,0,0,287,0,Low
30,Male,Preparatory,Minimum Security,Low,Low,5,1,0,281,30,Medium
35,Male,Secondary,Juvenile,Medium,High,5,1,1,191,17,Medium
39,Male,Literate,Remand,Medium,Medium,3,0,0,20,0,Medium
20,Male,Secondary,Maximum Security,High,High,8,0,1,76,28,Medium
56,Female,Literate,Women's,Low,Low,1,0,0,201,5,Low
57,Male,Primary,Juvenile,Low,Low,3,0,0,362,13,Low
54,Male,Preparatory,Minimum Security,Low,Low,4,0,0,213,15,Low
55,Female,Bachelor's,Minimum Security,Low,Low,3,0,0,305,11,Low
48,Male,Postgraduate education,Maximum Security,High,High,4,1,0,116,2,Low
64,Male,Preparatory,Maximum Security,High,High,5,1,1,194,6,Medium
27,Male,Secondary,Juvenile,Low,Medium,1,0,0,225,0,Low
38,Male,Primary,Minimum Security,Low,Low,4,0,0,313,12,Low
48,Female,Secondary,Women's,High,High,5,0,0,106,21,Medium
53,Male,Preparatory,Minimum Security,Low,Low,4,1,0,88,16,Medium
47,Female,Primary,Women's,Medium,Medium,6,2,0,348,13,Medium
59,Male,Preparatory,Juvenile,Low,Medium,1,0,0,152,0,Low
32,Female,Postgraduate education,Women's,Medium,Medium,2,0,0,353,6,Low
63,Male,Secondary,Remand,Low,Low,1,0,0,147,7,Low
25,Male,Bachelor's,Remand,Medium,Medium,2,0,0,74,0,Low
36,Female,Illiterate,Maximum Security,High,Medium,7,1,0,335,20,Medium
34,Male,Bachelor's,Juvenile,Medium,Medium,4,0,0,139,15,Low
26,Male,Primary,Maximum Security,High,High,4,0,0,271,11,Medium
32,Male,Preparatory,Remand,Medium,High,4,1,0,70,12,Medium
18,Female,Postgraduate education,Women's,High,High,8,1,2,243,21,Medium
48,Male,Primary,Remand,High,High,12,3,1,45,35,High
59,Male,Secondary,Remand,Low,Low,2,0,0,89,4,Low
44,Female,Literate,Women's,Low,Low,1,0,0,203,12,Low
49,Male,Bachelor's,Maximum Security,High,High,7,1,1,19,23,High
18,Male,Bachelor's,Minimum Security,Low,Low,1,0,0,232,7,Low
59,Male,Bachelor's,Remand,Low,Low,3,0,0,98,12,Low
25,Male,Secondary,Minimum Security,Low,Low,1,0,0,7,4,Low
65,Male,Secondary,Minimum Security,Low,Medium,3,0,0,312,6,Low
58,Female,Bachelor's,Women's,Medium,High,4,0,0,342,10,Low
24,Male,Primary,Maximum Security,High,High,5,1,1,133,15,Medium
42,Male,Bachelor's,Maximum Security,High,High,8,0,0,293,24,Medium
18,Male,Primary,Maximum Security,High,High,11,0,0,238,29,Medium
37,Male,Bachelor's,Maximum Security,High,Medium,9,0,2,159,24,Medium
62,Female,Primary,Maximum Security,High,High,7,0,0,112,20,Medium
26,Male,Postgraduate education,Minimum Security,Low,Low,2,0,0,359,3,Low
53,Female,Secondary,Women's,Medium,Low,10,4,2,126,25,High
61,Female,Illiterate,Juvenile,Medium,Medium,6,2,1,39,20,High
54,Male,Bachelor's,Maximum Security,High,High,6,1,1,274,20,Medium
27,Female,Preparatory,Maximum Security,High,High,15,4,1,298,48,High
49,Male,Secondary,Maximum Security,High,High,9,2,0,262,31,Medium
44,Male,Preparatory,Minimum Security,Low,Low,1,0,0,11,1,Low
43,Male,Primary,Maximum Security,High,High,9,2,0,216,18,Medium
40,Male,Illiterate,Remand,Low,Low,4,0,0,241,9,Low
20,Male,Literate,Minimum Security,Low,Low,1,0,0,330,0,Low
44,Female,Preparatory,Minimum Security,Low,Low,1,0,0,193,3,Low
42,Female,Bachelor's,Maximum Security,High,High,7,2,1,178,16,Medium
25,Male,Preparatory,Maximum Security,High,High,11,3,1,114,37,High
18,Female,Preparatory,Juvenile,Low,Low,1,0,0,194,0,Low
32,Male,Primary,Maximum Security,High,Medium,11,4,1,57,33,High
20,Male,Secondary,Juvenile,Low,Medium,2,0,0,105,12,Low
22,Male,Secondary,Maximum Security,High,High,3,0,0,24,4,Medium
33,Male,Primary,Juvenile,Medium,Low,3,0,0,28,13,Medium
26,Male,Secondary,Remand,Medium,Medium,7,2,0,306,27,Medium
61,Male,Bachelor's,Juvenile,Low,Low,5,0,0,211,24,Low
37,Male,Secondary,Maximum Security,High,High,7,0,0,89,22,Medium
58,Male,Illiterate,Remand,High,High,14,2,0,195,39,High
51,Male,Literate,Minimum Security,Low,Low,5,0,1,275,9,Medium
48,Male,Bachelor's,Maximum Security,High,High,6,2,1,237,20,Medium
21,Female,Secondary,Remand,High,High,9,3,0,104,33,High
39,Female,Bachelor's,Remand,High,High,12,2,1,97,36,High
21,Male,Secondary,Maximum Security,High,Medium,7,2,0,96,17,Medium
55,Male,Preparatory,Remand,Low,Low,1,0,0,7,0,Low
31,Female,Postgraduate education,Women's,High,Medium,9,0,1,245,33,Medium
33,Male,Preparatory,Remand,High,High,6,1,0,144,22,Medium
42,Male,Primary,Minimum Security,Low,Low,2,0,0,254,11,Low
47,Female,Preparatory,Maximum Security,High,Medium,8,0,2,104,23,Medium
41,Male,Bachelor's,Minimum Security,Low,Low,1,0,0,8,3,Low
34,Male,Secondary,Remand,High,High,6,1,0,117,22,Medium
42,Male,Secondary,Remand,Low,Low,1,0,0,250,10,Low
64,Male,Literate,Remand,Medium,High,6,0,0,279,20,Medium
49,Female,Postgraduate education,Maximum Security,High,Medium,9,3,1,268,33,High
20,Male,Secondary,Juvenile,Medium,High,2,0,0,70,1,Low
58,Male,Illiterate,Maximum Security,High,High,6,0,0,191,17,Medium
21,Male,Secondary,Remand,Medium,Medium,4,0,0,3,11,Medium
52,Male,Preparatory,Remand,High,Medium,4,1,0,8,10,Medium
50,Male,Secondary,Juvenile,Low,Medium,2,0,0,49,8,Low
51,Male,Preparatory,Maximum Security,High,Medium,10,0,2,136,32,High
43,Female,Preparatory,Maximum Security,High,High,11,4,2,356,30,High
32,Male,Illiterate,Minimum Security,Low,Low,1,0,0,332,0,Low
20,Male,Secondary,Maximum Security,High,High,6,1,1,4,11,High
62,Male,Preparatory,Maximum Security,High,High,3,0,0,289,13,Low
24,Female,Bachelor's,Women's,High,Medium,9,0,0,354,32,Medium
54,Male,Illiterate,Minimum Security,Low,Low,4,1,0,278,9,Medium
54,Male,Bachelor's,Remand,High,High,7,0,1,73,22,Medium
63,Female,Primary,Juvenile,Medium,Medium,3,0,0,199,10,Low
61,Female,Primary,Women's,Medium,High,6,2,1,352,18,Medium
64,Male,Primary,Maximum Security,High,High,10,1,3,118,35,High
22,Male,Bachelor's,Minimum Security,Low,Low,1,0,0,167,0,Low
19,Male,Preparatory,Remand,High,High,12,0,1,192,31,Medium
45,Male,Preparatory,Maximum Security,High,High,8,1,0,151,29,Medium
33,Male,Literate,Remand,Medium,Medium,11,0,0,199,36,Medium
38,Male,Bachelor's,Minimum Security,Low,Low,3,0,0,138,7,Low
24,Male,Preparatory,Maximum Security,High,High,8,3,1,208,31,High
24,Male,Illiterate,Maximum Security,High,High,11,2,2,166,33,High
42,Male,Secondary,Maximum Security,High,High,7,1,1,286,19,Medium
33,Male,Preparatory,Remand,High,High,5,1,1,252,22,Medium
27,Male,Preparatory,Maximum Security,High,High,5,1,0,39,3,Medium
41,Male,Secondary,Maximum Security,High,High,8,1,0,100,31,Medium
