Age,Gender,Sentence Type,education_level,Sentence_duration_months,Incident_count,violent_incidents_count,escape_incidents_count,Recidivism_score
23,Female,Vandalism,Literate,34,16,4,2,74.4
48,Male,Fraud,Illiterate,60,8,1,0,40.7
18,Female,Robbery,Secondary,94,9,2,1,60.7
36,Male,Public Order,Postgraduate education,18,10,0,3,34.4
60,Male,Theft,Primary,6,12,4,1,53.3
55,Male,Theft,Primary,6,10,4,3,62.3
55,Male,Weapons Offense,Preparatory,31,11,3,2,57.0
50,Male,Burglary,Secondary,55,5,1,0,19.4
33,Male,Weapons Offense,Secondary,29,10,4,1,60.4
57,Male,Drug Offense,Secondary,52,9,0,0,32.6
34,Male,Sexual Offense,Primary,197,10,3,1,86.5
26,Male,Robbery,Primary,132,10,0,3,73.2
22,Male,Drug Offense,Secondary,24,8,2,1,55.9
22,Male,Assault,Literate,68,9,0,2,72.3
22,Female,Fraud,Literate,81,7,0,1,51.1
63,Male,Public Order,Secondary,17,10,4,1,42.9
18,Male,Murder,Bachelor's,233,12,1,3,82.4
26,Male,Cybercrime,Secondary,15,5,1,1,34.0
35,Male,Burglary,Primary,55,6,1,1,40.7
58,Male,Assault,Primary,30,10,1,1,56.4
23,Male,Vandalism,Illiterate,24,7,2,1,68.1
26,Male,Robbery,Secondary,106,12,1,0,52.0
63,Male,Theft,Illiterate,47,14,3,3,76.0
27,Male,Vandalism,Secondary,12,10,4,3,57.5
45,Male,Robbery,Bachelor's,137,15,4,3,78.4
20,Female,Burglary,Primary,18,4,1,0,38.1
40,Male,Cybercrime,Preparatory,45,12,2,0,50.4
65,Male,Weapons Offense,Bachelor's,46,9,2,0,37.9
44,Male,Kidnapping,Primary,225,12,0,2,78.0
60,Male,Vandalism,Primary,9,11,4,2,56.7
42,Female,Vandalism,Primary,32,13,0,0,44.8
40,Male,Vandalism,Primary,4,9,0,2,44.7
60,Male,Robbery,Bachelor's,134,5,1,0,31.6
35,Male,Assault,Secondary,92,11,2,3,71.1
39,Female,Theft,Postgraduate education,14,8,3,0,30.0
55,Female,Robbery,Literate,91,5,0,1,46.2
40,Male,Robbery,Secondary,101,10,4,2,69.1
25,Male,Murder,Primary,403,9,0,1,78.6
18,Male,Vandalism,Secondary,15,15,4,4,81.8
41,Male,Weapons Offense,Bachelor's,64,11,3,2,54.9
60,Male,Sexual Offense,Primary,175,10,2,1,64.9
60,Male,Fraud,Primary,28,10,3,3,60.0
30,Male,Weapons Offense,Secondary,46,12,5,0,56.8
57,Male,Fraud,Bachelor's,50,14,5,1,48.4
36,Male,Vandalism,Secondary,23,11,0,0,26.7
47,Male,Drug Offense,Preparatory,33,18,5,3,91.3
60,Male,Assault,Secondary,66,5,1,1,35.0
23,Male,Arson,Secondary,64,7,0,0,50.1
30,Male,Theft,Postgraduate education,42,7,2,0,25.4
22,Male,Cybercrime,Secondary,51,11,4,1,51.9
62,Male,Fraud,Literate,12,9,0,1,34.0
24,Male,Burglary,Secondary,56,9,1,2,56.2
51,Male,Murder,Bachelor's,242,6,2,0,49.0
47,Male,Assault,Preparatory,95,9,3,2,70.8
56,Male,Arson,Preparatory,100,10,4,1,56.7
45,Male,Murder,Bachelor's,423,9,2,0,66.8
46,Male,Burglary,Secondary,61,11,0,3,47.5
51,Male,Burglary,Preparatory,57,10,2,1,50.1
36,Male,Robbery,Bachelor's,46,14,4,2,62.5
26,Male,Fraud,Literate,39,11,2,2,61.8
22,Male,Robbery,Preparatory,43,6,1,1,46.6
31,Male,Fraud,Secondary,14,9,3,0,47.8
54,Male,Theft,Primary,27,10,3,1,49.9
44,Male,Kidnapping,Secondary,176,17,7,0,84.0
49,Male,Assault,Illiterate,67,10,4,1,65.3
60,Male,Fraud,Literate,71,7,2,0,42.8
26,Female,Assault,Bachelor's,99,10,2,1,52.8
54,Male,Theft,Preparatory,32,12,2,2,51.4
29,Male,Fraud,Primary,53,12,1,2,56.6
39,Male,Fraud,Secondary,65,5,0,1,28.5
34,Male,Assault,Secondary,30,7,1,1,49.1
40,Male,Theft,Bachelor's,5,13,5,2,56.8
19,Female,Burglary,Illiterate,21,15,1,3,82.7
33,Male,Drug Offense,Secondary,39,7,2,1,51.9
47,Male,Arson,Literate,113,10,1,0,54.6
65,Male,Arson,Literate,75,8,3,0,47.5
24,Male,Weapons Offense,Secondary,72,12,0,0,49.9
43,Female,Burglary,Secondary,65,6,0,1,29.9
58,Male,Sexual Offense,Primary,126,9,1,2,72.2
54,Male,Fraud,Preparatory,59,10,3,2,54.3
22,Male,Fraud,Bachelor's,74,9,3,1,45.4
24,Male,Fraud,Bachelor's,70,10,0,0,39.8
63,Male,Burglary,Preparatory,53,9,1,2,47.1
35,Male,Weapons Offense,Secondary,83,15,5,0,68.0
45,Male,Drug Offense,Primary,43,10,0,1,57.7
23,Male,Assault,Secondary,96,8,1,1,63.8
57,Male,Robbery,Preparatory,77,8,0,0,44.1
29,Male,Fraud,Primary,47,13,5,2,74.2
56,Male,Robbery,Illiterate,60,16,2,0,59.1
23,Male,Fraud,Secondary,42,10,1,0,33.9
62,Male,Sexual Offense,Preparatory,100,12,4,0,65.6
23,Male,Fraud,Primary,59,10,0,0,51.8
48,Male,Fraud,Postgraduate education,82,6,0,1,27.8
39,Male,Assault,Primary,53,14,0,4,84.2
25,Male,Robbery,Secondary,133,7,0,0,44.3
62,Male,Burglary,Preparatory,58,10,4,1,55.2
55,Female,Assault,Primary,36,9,2,1,54.8
30,Male,Fraud,Primary,80,10,0,0,46.0
26,Male,Public Order,Secondary,23,9,1,1,29.1
26,Male,Arson,Literate,37,8,1,2,69.0
54,Male,Assault,Primary,30,14,5,2,74.1
34,Female,Assault,Bachelor's,75,8,2,0,48.2
49,Male,Drug Offense,Illiterate,31,8,2,2,68.2
54,Female,Theft,Primary,38,6,0,1,29.6
44,Male,Vandalism,Primary,36,11,2,0,38.0
42,Male,Assault,Bachelor's,78,9,2,1,47.5
37,Male,Theft,Postgraduate education,9,11,0,0,23.3
31,Male,Robbery,Illiterate,66,12,3,2,82.2
29,Male,Theft,Preparatory,47,11,4,1,52.2
56,Male,Theft,Primary,21,6,2,1,36.2
62,Male,Theft,Primary,19,10,4,2,54.0
58,Male,Vandalism,Primary,10,13,0,2,45.1
52,Male,Theft,Primary,12,9,2,1,35.8
22,Male,Vandalism,Secondary,21,12,2,2,52.6
46,Male,Drug Offense,Secondary,46,9,3,0,34.3
50,Male,Assault,Secondary,79,15,6,2,76.0
65,Male,Burglary,Illiterate,55,11,4,0,53.3
54,Male,Theft,Secondary,20,10,4,1,38.3
54,Male,Arson,Preparatory,119,12,2,1,53.9
46,Female,Burglary,Secondary,52,11,2,2,51.1
49,Female,Assault,Preparatory,65,10,0,1,57.6
60,Male,Burglary,Preparatory,43,5,0,0,24.9
36,Male,Fraud,Secondary,16,13,2,1,45.6
47,Male,Burglary,Literate,61,6,0,1,41.9
43,Male,Vandalism,Illiterate,32,7,0,1,42.0
44,Male,Assault,Secondary,87,6,2,1,48.5
58,Male,Theft,Primary,11,5,1,1,32.8
36,Male,Sexual Offense,Literate,157,9,0,1,65.0
63,Male,Murder,Secondary,227,8,2,1,54.3
32,Female,Weapons Offense,Preparatory,39,8,1,2,66.4
59,Male,Assault,Secondary,89,11,4,0,57.6
63,Male,Vandalism,Postgraduate education,18,9,3,1,22.5
47,Male,Fraud,Bachelor's,77,13,1,2,49.7
65,Female,Cybercrime,Primary,56,9,1,0,35.1
44,Male,Vandalism,Primary,3,10,0,1,36.1
36,Male,Vandalism,Secondary,34,12,5,1,60.6
27,Male,Assault,Primary,93,10,0,1,58.7
42,Male,Robbery,Primary,125,10,4,1,63.7
33,Male,Burglary,Secondary,14,6,2,1,38.9
38,Male,Sexual Offense,Secondary,194,11,1,0,60.7
60,Male,Drug Offense,Literate,16,14,5,1,60.1
26,Male,Drug Offense,Bachelor's,68,18,4,3,77.4
24,Male,Assault,Secondary,76,13,2,2,78.5
59,Female,Theft,Secondary,19,8,1,2,33.1
39,Male,Fraud,Illiterate,54,12,3,2,69.3
61,Male,Fraud,Primary,74,11,1,1,39.0
52,Male,Theft,Secondary,21,5,0,0,25.1
32,Male,Assault,Illiterate,105,9,2,1,69.0
63,Female,Assault,Secondary,27,13,5,1,61.2
20,Male,Theft,Primary,30,13,0,3,62.9
27,Male,Fraud,Secondary,35,10,4,0,52.4
28,Male,Drug Offense,Preparatory,42,14,0,3,72.7
49,Female,Theft,Preparatory,19,16,1,0,44.8
47,Male,Theft,Secondary,21,15,4,0,43.1
61,Male,Theft,Bachelor's,40,7,2,0,26.5
37,Male,Assault,Primary,62,10,2,3,75.3
30,Female,Vandalism,Literate,27,6,0,0,40.0
54,Male,Robbery,Secondary,38,4,0,0,22.8
60,Male,Theft,Bachelor's,6,10,4,1,28.6
56,Male,Vandalism,Bachelor's,17,14,2,1,42.5
56,Male,Burglary,Primary,28,7,2,0,34.4
61,Male,Arson,Secondary,53,10,3,2,62.5
58,Male,Drug Offense,Illiterate,68,9,2,2,68.8
20,Male,Kidnapping,Illiterate,195,8,1,1,77.5
38,Male,Burglary,Literate,46,11,4,1,57.3
41,Male,Weapons Offense,Bachelor's,56,17,4,2,71.4
48,Female,Robbery,Bachelor's,138,14,5,4,84.2
25,Male,Theft,Secondary,17,14,2,4,66.0
61,Male,Public Order,Postgraduate education,18,6,0,1,17.5
41,Male,Fraud,Primary,27,11,0,2,52.5
47,Male,Kidnapping,Primary,217,11,2,1,64.8
58,Female,Theft,Primary,4,10,4,2,66.8
57,Female,Murder,Bachelor's,293,14,2,2,77.4
59,Male,Vandalism,Bachelor's,22,10,3,2,47.1
59,Male,Theft,Bachelor's,22,18,4,4,69.7
49,Male,Burglary,Preparatory,36,10,1,2,56.0
47,Male,Weapons Offense,Secondary,93,8,2,0,47.6
44,Male,Sexual Offense,Bachelor's,121,13,0,2,62.3
49,Male,Weapons Offense,Primary,71,14,2,4,87.8
31,Male,Public Order,Bachelor's,4,11,4,2,57.3
61,Male,Weapons Offense,Secondary,31,18,6,1,70.6
43,Male,Public Order,Bachelor's,15,12,3,1,38.2
23,Male,Drug Offense,Secondary,14,14,6,1,77.8
21,Male,Burglary,Literate,48,7,0,0,39.2
31,Male,Arson,Primary,63,6,2,1,61.0
32,Male,Theft,Bachelor's,3,9,0,0,26.7
35,Male,Theft,Literate,19,13,3,1,59.2
29,Male,Cybercrime,Literate,28,10,2,1,57.9
33,Male,Theft,Primary,11,6,2,0,44.6
65,Male,Theft,Illiterate,31,12,5,1,59.8
41,Male,Theft,Preparatory,42,9,2,0,32.9
20,Male,Weapons Offense,Secondary,62,5,1,0,47.5
47,Male,Theft,Postgraduate education,28,6,0,0,23.4
45,Male,Assault,Bachelor's,33,9,2,2,50.4
23,Male,Theft,Literate,42,9,2,1,51.0
58,Male,Sexual Offense,Preparatory,231,14,3,0,73.9
36,Male,Drug Offense,Illiterate,26,13,3,4,84.8
59,Male,Arson,Secondary,63,11,0,1,38.3
45,Male,Burglary,Primary,41,7,1,1,47.5
43,Male,Theft,Preparatory,45,6,1,1,28.7
34,Male,Theft,Bachelor's,7,12,0,0,36.0
23,Male,Theft,Illiterate,26,6,1,1,54.3
26,Male,Murder,Secondary,348,7,1,1,68.9
60,Male,Fraud,Secondary,66,14,4,3,61.2
64,Male,Robbery,Primary,49,9,1,2,57.7
54,Male,Theft,Preparatory,9,13,3,0,36.9
40,Male,Fraud,Secondary,40,17,2,5,84.7
45,Male,Public Order,Secondary,20,11,3,3,60.7
61,Male,Theft,Bachelor's,47,17,3,5,70.8
35,Male,Robbery,Secondary,79,12,5,1,74.4
40,Male,Cybercrime,Secondary,31,13,0,3,51.1
22,Male,Drug Offense,Illiterate,79,4,0,0,49.6
31,Male,Assault,Literate,63,10,2,2,78.9
64,Male,Weapons Offense,Secondary,30,14,2,3,65.2
27,Male,Drug Offense,Secondary,46,10,4,3,69.7
46,Male,Assault,Preparatory,58,5,0,0,49.9
31,Male,Theft,Preparatory,21,9,2,0,41.8
61,Male,Assault,Secondary,29,12,3,3,69.6
32,Male,Drug Offense,Illiterate,50,11,4,1,76.6
31,Male,Arson,Primary,51,15,1,2,72.1
18,Male,Assault,Literate,92,7,0,0,57.7
63,Male,Murder,Secondary,361,9,1,1,61.3
22,Male,Kidnapping,Preparatory,237,20,4,5,100.0
22,Male,Murder,Secondary,393,14,6,0,93.6
36,Male,Theft,Primary,42,12,0,2,47.0
47,Male,Weapons Offense,Illiterate,37,14,0,3,68.8
33,Male,Fraud,Illiterate,51,9,2,1,57.6
65,Male,Robbery,Literate,101,8,0,0,37.4
58,Male,Assault,Bachelor's,68,7,0,0,29.5
40,Male,Vandalism,Secondary,18,12,0,3,48.2
24,Male,Burglary,Secondary,60,13,5,3,77.5
59,Male,Public Order,Secondary,15,7,0,0,18.2
54,Male,Assault,Bachelor's,96,7,2,0,38.6
59,Male,Drug Offense,Bachelor's,92,12,1,3,52.6
38,Male,Theft,Preparatory,22,12,0,1,41.0
35,Male,Fraud,Illiterate,71,7,2,1,52.6
46,Male,Fraud,Primary,23,10,4,3,63.1
57,Male,Fraud,Secondary,17,5,1,1,30.7
46,Female,Murder,Primary,423,14,1,0,77.7
50,Male,Theft,Literate,24,11,0,1,48.4
63,Male,Drug Offense,Illiterate,68,15,6,5,100.0
46,Male,Drug Offense,Preparatory,48,5,1,1,37.6
42,Male,Robbery,Secondary,137,9,0,0,47.7
58,Male,Theft,Illiterate,46,14,5,3,77.4
42,Male,Sexual Offense,Secondary,134,9,3,1,63.5
39,Male,Drug Offense,Bachelor's,51,8,2,2,49.8
59,Male,Fraud,Secondary,22,12,0,0,27.2
37,Male,Drug Offense,Primary,28,7,2,1,45.2
60,Male,Weapons Offense,Postgraduate education,91,12,5,0,53.1
23,Male,Assault,Preparatory,70,10,4,0,64.2
37,Male,Burglary,Bachelor's,43,8,1,0,29.9
30,Male,Theft,Illiterate,9,9,1,1,44.3
50,Male,Vandalism,Bachelor's,5,12,4,2,51.8
60,Male,Arson,Literate,84,11,3,0,54.8
27,Male,Vandalism,Secondary,13,10,4,3,59.0
64,Male,Fraud,Secondary,42,8,2,1,32.5
46,Male,Arson,Secondary,65,11,0,0,37.8
52,Male,Public Order,Secondary,7,7,1,0,19.8
41,Male,Murder,Preparatory,324,10,0,1,65.0
42,Male,Fraud,Literate,37,13,4,1,61.2
56,Male,Burglary,Secondary,67,5,1,1,42.0
41,Male,Theft,Bachelor's,10,13,1,0,34.5
36,Male,Burglary,Preparatory,44,8,0,1,42.3
27,Male,Theft,Bachelor's,31,13,1,4,63.4
40,Female,Fraud,Preparatory,59,14,0,4,70.0
33,Male,Theft,Primary,23,10,4,0,57.3
24,Male,Drug Offense,Secondary,29,4,1,0,40.7
20,Male,Vandalism,Secondary,11,9,2,0,37.8
63,Male,Drug Offense,Bachelor's,14,6,1,1,26.0
34,Male,Theft,Bachelor's,41,4,0,0,23.7
51,Male,Arson,Primary,51,11,0,2,59.9
21,Male,Drug Offense,Secondary,20,9,3,0,46.0
25,Male,Assault,Preparatory,104,8,2,1,58.7
50,Male,Sexual Offense,Primary,96,7,1,1,49.7
57,Male,Murder,Primary,223,10,3,3,81.5
51,Female,Theft,Preparatory,35,18,8,6,100.0
50,Male,Fraud,Preparatory,61,10,0,2,40.2
41,Male,Theft,Secondary,25,16,3,2,63.8
33,Male,Drug Offense,Secondary,54,16,0,5,90.2
26,Male,Murder,Secondary,269,5,0,0,55.5
61,Male,Sexual Offense,Secondary,130,13,1,4,74.9
22,Male,Weapons Offense,Illiterate,49,10,3,1,69.4
20,Male,Cybercrime,Primary,25,9,2,1,54.4
50,Male,Vandalism,Preparatory,5,9,1,1,38.0
59,Male,Fraud,Secondary,54,8,0,2,39.0
35,Male,Fraud,Bachelor's,68,11,0,0,27.3
42,Male,Burglary,Secondary,35,10,4,3,53.1
51,Male,Theft,Preparatory,30,6,0,1,28.3
56,Female,Burglary,Primary,18,10,4,3,63.0
23,Male,Robbery,Preparatory,127,14,6,4,100.0
45,Male,Assault,Preparatory,117,9,0,2,55.3
40,Male,Assault,Secondary,31,10,0,2,50.7
22,Male,Fraud,Preparatory,32,7,0,1,41.2
19,Male,Drug Offense,Secondary,16,12,3,3,73.4
26,Male,Arson,Preparatory,85,11,3,3,66.3
54,Male,Theft,Preparatory,26,9,2,2,48.1
41,Male,Theft,Literate,26,9,0,0,33.1
43,Male,Robbery,Postgraduate education,39,13,4,0,38.5
65,Male,Assault,Bachelor's,39,8,0,0,30.9
34,Male,Sexual Offense,Primary,169,8,0,2,69.2
62,Female,Assault,Literate,33,6,1,1,51.1
46,Male,Sexual Offense,Postgraduate education,177,13,4,1,62.7
60,Male,Theft,Secondary,22,17,0,0,32.8
28,Male,Weapons Offense,Secondary,70,10,1,3,73.8
50,Male,Public Order,Secondary,8,11,4,2,45.4
49,Male,Murder,Preparatory,462,5,1,0,62.4
26,Male,Theft,Primary,48,9,3,2,56.7
64,Male,Fraud,Preparatory,21,9,1,1,42.0
26,Female,Drug Offense,Preparatory,78,19,7,0,79.4
40,Male,Vandalism,Secondary,14,18,1,1,49.0
26,Male,Weapons Offense,Illiterate,39,13,1,4,93.0
51,Male,Burglary,Primary,57,13,2,1,54.5
32,Male,Weapons Offense,Bachelor's,34,7,2,1,56.9
34,Male,Public Order,Primary,21,16,4,3,71.3
37,Male,Theft,Secondary,40,7,0,0,20.1
55,Male,Drug Offense,Secondary,89,14,6,1,69.7
39,Male,Murder,Bachelor's,194,11,3,3,81.0
23,Male,Drug Offense,Secondary,95,6,2,1,48.1
31,Male,Fraud,Secondary,75,7,0,1,47.3
58,Male,Drug Offense,Primary,43,10,2,2,61.8
61,Male,Assault,Secondary,44,11,1,1,47.2
46,Male,Assault,Primary,42,13,1,4,75.6
38,Male,Robbery,Postgraduate education,80,12,2,1,53.6
43,Male,Fraud,Secondary,52,10,1,1,38.4
33,Male,Robbery,Primary,48,9,2,2,69.1
21,Male,Fraud,Secondary,43,9,3,1,51.5
28,Male,Weapons Offense,Secondary,48,11,4,1,58.1
28,Male,Assault,Preparatory,63,13,3,4,91.8
49,Male,Weapons Offense,Preparatory,54,11,1,2,59.4
31,Male,Theft,Primary,41,10,2,2,57.9
59,Male,Robbery,Illiterate,49,11,4,3,81.0
45,Male,Robbery,Preparatory,87,13,4,3,82.4
41,Male,Theft,Secondary,26,6,0,1,26.6
53,Male,Fraud,Preparatory,82,12,0,0,34.2
35,Male,Drug Offense,Secondary,28,11,2,2,61.1
24,Male,Vandalism,Primary,26,9,3,0,49.2
27,Male,Assault,Preparatory,29,7,1,0,44.4
20,Male,Robbery,Preparatory,94,10,4,2,79.4
27,Male,Assault,Primary,102,7,2,0,53.6
38,Male,Public Order,Secondary,10,13,4,3,62.5
55,Male,Vandalism,Preparatory,22,6,2,0,16.3
48,Male,Fraud,Secondary,65,12,5,1,55.6
55,Male,Cybercrime,Bachelor's,46,11,3,3,50.8
19,Male,Robbery,Secondary,135,8,1,2,62.7
55,Male,Sexual Offense,Secondary,139,7,1,0,51.3
51,Male,Drug Offense,Bachelor's,30,4,1,0,23.0
61,Male,Murder,Secondary,277,11,1,0,57.5
19,Male,Fraud,Preparatory,38,7,2,1,50.3
44,Male,Drug Offense,Preparatory,19,6,0,1,41.6
63,Male,Burglary,Primary,54,11,4,1,57.6
48,Male,Robbery,Literate,104,6,0,1,44.6
39,Male,Drug Offense,Bachelor's,94,7,0,1,33.5
62,Male,Assault,Bachelor's,59,9,1,2,50.1
53,Male,Weapons Offense,Postgraduate education,60,7,2,0,31.7
63,Male,Sexual Offense,Primary,185,13,1,1,62.9
53,Female,Vandalism,Primary,10,12,2,0,39.1
54,Male,Fraud,Postgraduate education,56,12,5,3,57.2
27,Male,Robbery,Secondary,80,13,4,3,79.2
46,Male,Kidnapping,Primary,257,10,3,1,71.1
35,Female,Sexual Offense,Literate,157,11,0,2,74.8
33,Male,Weapons Offense,Primary,53,10,2,3,71.8
21,Male,Robbery,Preparatory,123,13,0,2,63.7
26,Male,Murder,Bachelor's,388,9,2,2,79.5
59,Female,Cybercrime,Preparatory,18,8,3,0,28.9
36,Male,Drug Offense,Bachelor's,23,11,1,1,52.4
59,Male,Assault,Secondary,28,6,0,0,23.7
29,Male,Vandalism,Bachelor's,5,15,5,0,50.0
43,Male,Burglary,Secondary,67,9,3,2,54.2
36,Female,Theft,Secondary,9,8,1,1,30.9
39,Male,Public Order,Secondary,16,6,1,1,34.1
26,Male,Assault,Primary,38,11,4,0,62.8
39,Male,Assault,Primary,47,8,1,1,55.9
18,Male,Vandalism,Secondary,15,11,1,1,45.0
29,Male,Drug Offense,Preparatory,66,13,4,2,77.8
50,Male,Fraud,Illiterate,29,6,2,1,47.1
48,Male,Burglary,Primary,27,11,4,3,75.5
46,Male,Public Order,Primary,24,11,1,1,39.6
54,Male,Drug Offense,Secondary,19,4,0,0,25.7
60,Male,Robbery,Preparatory,100,12,5,2,74.6
63,Male,Sexual Offense,Secondary,171,12,0,1,51.7
41,Male,Burglary,Literate,21,12,2,1,48.9
47,Male,Drug Offense,Preparatory,82,14,2,2,56.8
48,Male,Vandalism,Bachelor's,18,21,3,0,50.2
61,Male,Cybercrime,Illiterate,34,14,2,2,62.9
51,Male,Theft,Secondary,6,12,0,3,42.1
53,Female,Burglary,Preparatory,22,7,0,1,41.6
38,Male,Assault,Secondary,115,8,0,2,56.0
55,Male,Cybercrime,Preparatory,9,11,3,3,53.3
47,Male,Fraud,Secondary,83,14,5,0,58.9
47,Male,Robbery,Illiterate,68,8,2,1,60.8
18,Male,Murder,Illiterate,356,14,4,3,100.0
62,Male,Public Order,Bachelor's,3,12,0,3,34.0
48,Male,Fraud,Secondary,65,14,0,4,60.2
41,Female,Fraud,Bachelor's,60,15,6,0,55.6
42,Male,Public Order,Bachelor's,5,8,1,0,28.1
59,Male,Theft,Postgraduate education,28,12,3,3,55.0
51,Male,Public Order,Bachelor's,1,7,2,1,23.0
37,Male,Sexual Offense,Preparatory,193,8,1,0,52.0
32,Male,Fraud,Primary,26,7,0,0,45.6
20,Male,Fraud,Secondary,14,10,3,3,63.5
33,Male,Theft,Illiterate,41,11,0,1,50.0
61,Male,Theft,Secondary,28,10,1,2,43.1
46,Male,Burglary,Bachelor's,15,3,0,0,16.7
26,Male,Robbery,Secondary,129,13,2,0,60.4
54,Male,Drug Offense,Secondary,53,3,0,0,29.3
33,Male,Theft,Secondary,17,14,4,3,65.8
44,Male,Theft,Bachelor's,14,12,1,2,46.7
58,Male,Murder,Illiterate,356,7,0,0,65.1
59,Male,Vandalism,Primary,29,12,3,3,60.5
44,Male,Fraud,Secondary,72,4,0,0,23.8
33,Male,Robbery,Secondary,139,9,1,1,55.3
47,Female,Murder,Postgraduate education,465,10,0,0,60.9
51,Male,Burglary,Primary,53,6,1,0,33.7
23,Female,Vandalism,Illiterate,15,13,3,2,79.8
21,Male,Drug Offense,Secondary,21,9,2,1,54.5
30,Male,Murder,Secondary,291,13,4,2,84.7
48,Male,Weapons Offense,Primary,25,9,2,0,54.4
31,Female,Public Order,Literate,16,9,2,2,52.4
33,Male,Sexual Offense,Preparatory,157,9,3,1,70.9
53,Male,Robbery,Preparatory,119,9,1,0,42.4
40,Male,Fraud,Bachelor's,71,11,0,0,30.4
24,Male,Sexual Offense,Secondary,177,10,2,2,79.9
31,Male,Fraud,Secondary,40,9,2,0,44.8
65,Male,Robbery,Bachelor's,110,11,3,0,45.8
64,Male,Theft,Primary,27,6,2,0,30.5
54,Male,Assault,Secondary,111,2,0,0,29.5
39,Male,Vandalism,Postgraduate education,34,9,1,1,28.7
47,Male,Vandalism,Literate,34,8,0,0,40.6
29,Female,Murder,Secondary,210,17,6,5,100.0
51,Male,Vandalism,Bachelor's,6,18,5,3,67.7
18,Male,Vandalism,Primary,12,10,4,2,64.7
18,Male,Assault,Illiterate,105,13,1,0,74.3
60,Female,Weapons Offense,Secondary,26,10,4,3,66.6
18,Male,Fraud,Illiterate,47,6,0,0,49.7
52,Female,Theft,Secondary,46,7,2,1,28.9
45,Male,Weapons Offense,Literate,36,13,4,3,78.0
51,Male,Burglary,Preparatory,64,15,2,4,64.0
40,Male,Fraud,Preparatory,63,10,2,2,57.8
47,Male,Public Order,Primary,22,6,0,1,32.8
23,Male,Vandalism,Secondary,8,5,1,0,34.4
43,Male,Murder,Illiterate,184,8,2,0,61.2
62,Male,Assault,Preparatory,66,9,0,1,53.6
54,Female,Public Order,Bachelor's,2,10,3,2,44.7
32,Male,Cybercrime,Bachelor's,36,15,5,2,64.9
35,Male,Theft,Bachelor's,37,9,1,0,35.6
54,Male,Burglary,Bachelor's,13,12,1,3,48.5
31,Male,Arson,Secondary,86,8,1,0,41.4
22,Male,Murder,Secondary,379,18,2,1,90.5
61,Female,Robbery,Secondary,53,8,0,0,30.4
62,Male,Assault,Postgraduate education,30,14,6,0,54.8
24,Male,Vandalism,Primary,28,12,3,1,69.4
38,Male,Robbery,Postgraduate education,98,11,4,0,51.1
32,Male,Weapons Offense,Preparatory,72,12,1,1,60.0
23,Male,Robbery,Primary,45,6,2,0,47.1
